,IMO,start_port,start_country,start_lon,start_lat,end_port,end_country,end_lon,end_lat,route,aux,CO2_kg,start,end,av_speed
724,9783502,qingdao gang,CHN,120.266667,36.033333,perama,GRC,23.58601195,37.96036859,qingdao gang - perama,6,8495613.378637698,2019-05-15 01:00:00,2019-06-10 14:00:00,12.878840367676244
725,9783502,reimerswaal,NLD,4.009277344,51.43969727,perama,GRC,23.58601195,37.96036859,reimerswaal - perama,3,18465410.530901134,2019-01-21 10:00:00,2019-03-25 06:00:00,13.189783560731383
726,9783514,finkenwerder,DEU,9.866782251,53.53805439,perama,GRC,23.58601195,37.96036859,finkenwerder - perama,2,20879239.20532701,2019-01-24 19:00:00,2019-04-01 04:00:00,12.965680883735361
727,9783514,finkenwerder,DEU,9.866782251,53.53805439,perama,GRC,23.58601195,37.96036859,finkenwerder - perama,5,21693070.865476325,2019-04-15 05:00:00,2019-06-18 04:00:00,13.323519609510106
728,9783514,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,1,3281750.667099708,2019-01-15 13:00:00,2019-01-24 18:00:00,14.15060031054758
729,9783514,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,4,3161874.4906863878,2019-04-02 09:00:00,2019-04-15 04:00:00,10.229277705012683
730,9783514,perama,GRC,23.58601195,37.96036859,hontenisse,NLD,4.089294434,51.36309814,perama - hontenisse,7,3513596.123372104,2019-11-19 09:00:00,2019-12-04 04:00:00,10.249047190563639
731,9783514,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,48003.438,2019-01-14 06:00:00,2019-01-15 12:00:00,0.00967741935483871
732,9783514,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,3,43357.944,2019-04-01 05:00:00,2019-04-02 08:00:00,0.0
733,9783514,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,6,49304720.10269654,2019-06-18 05:00:00,2019-11-19 08:00:00,12.82044333346104
734,9783526,hontenisse,NLD,4.089294434,51.36309814,perama,GRC,23.58601195,37.96036859,hontenisse - perama,2,19732783.275774542,2019-08-25 17:00:00,2019-10-28 05:00:00,12.982946020812918
735,9783526,hontenisse,NLD,4.089294434,51.36309814,qingdao gang,CHN,120.266667,36.033333,hontenisse - qingdao gang,5,13199558.65368269,2019-11-10 18:00:00,2019-12-17 14:00:00,13.360119425612096
736,9783526,perama,GRC,23.58601195,37.96036859,hontenisse,NLD,4.089294434,51.36309814,perama - hontenisse,1,3808588.3125671158,2019-08-13 18:00:00,2019-08-25 16:00:00,12.329339526506846
737,9783526,perama,GRC,23.58601195,37.96036859,hontenisse,NLD,4.089294434,51.36309814,perama - hontenisse,4,3808461.7821538514,2019-10-29 04:00:00,2019-11-10 17:00:00,11.72528556748968
738,9783526,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,48921500.508046344,2019-03-11 06:00:00,2019-08-13 17:00:00,12.56876985457822
739,9783526,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,3,34066.956,2019-10-28 06:00:00,2019-10-29 03:00:00,0.0
740,9783526,pulau sebarok,SGP,103.8,1.2,pulau sebarok,SGP,103.8,1.2,pulau sebarok - pulau sebarok,7,429459.1352444696,2019-12-30 03:00:00,2019-12-31 22:00:00,12.381818181818202
