PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
SETUBAL,PRT,-8.876950581,38.51721027,setubal,Setubal,Portugal,38.516667,-8.9,both,-12.591510153999998,-4.889724860000001,17.481235014,PRT
SEVASTOPOL,UKR,33.5291,44.607134,sevastopol,Sevastopol,Ukraine,44.616667,33.533333,both,42.406050581,6.089923730000002,48.495974311000005,UKR
SEVERODVINSK,RUS,39.78668213,64.57489014,severodvinsk,Severodvinsk,Russia,64.577222222,39.773055556,both,6.257582130000003,19.96775613999999,26.225338269999995,RUS
SEVEROMORSK,RUS,33.4501,69.08053387,severomorsk,,,,,left_only,-6.336582130000004,4.505643730000003,10.842225860000006,
SEVILLA,ESP,-6.022521973,37.36627197,sevilla,Sevilla,Spain,37.366667,-6.0,both,-39.472621973,-31.714261899999997,71.186883873,ESP
SEVIVARA POINT,TLS,127.1977,-8.343466,sevivara point,,,,,left_only,133.196374856,-45.69749968,178.893874536,
SEWARD,USA,-149.433333,60.1,seward,Seward,United States,60.1,-149.433333,both,-276.631033,68.443466,345.074499,USA
SEWAREN,USA,-74.25,40.55,sewaren,Sewaren,United States,40.55,-74.25,both,75.183333,-19.550000000000004,94.73333300000002,USA
SEWELLS POINT,USA,-76.3324,36.955534,sewells point,,,,,left_only,-2.082400000000007,-3.594465999999997,5.676866000000004,
SEYDHISFJORDHUR,ISL,-14.0,65.266667,seydhisfjordhur,Seydhisfjordhur,Iceland,65.266667,-14.0,both,62.33240000000001,28.311132999999998,90.643533,ISL
SFAX,TUN,10.7615,34.72933387,sfax,,,,,left_only,24.770742,-30.528196130000005,55.29893813,
SHAHID RAJEE,IRN,56.063336,27.103751,shahid rajee,,,,,left_only,45.301836,-7.625582869999999,52.92741887,
SHAKHTERSK,RUS,142.0552979,49.16131592,shakhtersk,Shakhtersk,Russia,49.166667,142.066667,both,85.9919619,22.05756492,108.04952682000001,RUS
SHAKOTAN,JPN,146.833333,43.866667,shakotan,Shakotan,Russia,43.866667,146.833333,both,4.778035100000011,-5.29464892,10.072684020000011,RUS
SHAMBE,SSD,30.774175,7.106743,shambe,,,,,left_only,-116.05915800000001,-36.759924,152.819082,
SHAN T OU,CHN,116.683333,23.366667,shan t ou,Shan T Ou,China,23.366667,116.683333,both,85.909158,16.259923999999998,102.169082,CHN
SHANGHAI,CHN,121.4837036,31.23968506,shanghai,Shanghai,China,31.216667,121.5,both,4.800370599999994,7.87301806,12.673388659999993,CHN
SHANTOU,CHN,116.6653,23.34873387,shantou,,,,,left_only,-4.818403599999996,-7.890951189999999,12.709354789999995,
